hotend_ist;hotend_soll;bed_ist;bed_soll
174,71 ;220,00 ;59,80 ;/60,00 
174,71 ;220,00 ;59,80 ;/60,00 
175,89 ;220,00 ;59,71 ;/60,00 
176,90 ;220,00 ;59,65 ;/60,00 
177,20 ;220,00 ;59,54 ;/60,00 
178,12 ;220,00 ;59,65 ;/60,00 
179,13 ;220,00 ;59,65 ;/60,00 
179,35 ;220,00 ;59,62 ;/60,00 
180,58 ;220,00 ;59,87 ;/60,00 
182,38 ;220,00 ;59,82 ;/60,00 
182,38 ;220,00 ;59,82 ;/60,00 
183,48 ;220,00 ;60,01 ;/60,00 
184,70 ;220,00 ;60,06 ;/60,00 
184,70 ;220,00 ;60,06 ;/60,00 
186,08 ;220,00 ;60,27 ;/60,00 
